"filename", "language", "CSS", "JSON", "HTML", "JavaScript", "JavaScript React", "SCSS", "Markdown", "comment", "blank", "total"
"d:\horizon\admin\src\scss\_fixes.scss", "SCSS", 0, 0, 0, 0, 0, 13, 0, 2, 2, 17
"d:\horizon\admin\src\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\horizon\admin\src\scss\style.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 4, 4, 12
"d:\horizon\admin\src\serviceWorker.js", "JavaScript", 0, 0, 0, 85, 0, 0, 0, 30, 13, 128
"d:\horizon\admin\src\setupTests.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"d:\horizon\admin\src\store.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"d:\horizon\admin\src\views\Gallery\Gallery.jsx", "JavaScript React", 0, 0, 0, 0, 98, 0, 0, 0, 22, 120
"d:\horizon\admin\src\views\Preview\Preview.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 1, 8, 34
"d:\horizon\admin\src\views\Preview\preview.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\admin\src\views\UploadImg\UploadImg.jsx", "JavaScript React", 0, 0, 0, 0, 151, 0, 0, 1, 31, 183
"d:\horizon\admin\src\views\charts\ChartBarSimple.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 2, 9, 76
"d:\horizon\admin\src\views\charts\ChartLineSimple.js", "JavaScript", 0, 0, 0, 136, 0, 0, 0, 2, 15, 153
"d:\horizon\admin\src\views\charts\Charts.js", "JavaScript", 0, 0, 0, 205, 0, 0, 0, 0, 9, 214
"d:\horizon\admin\src\views\charts\MainChartExample.js", "JavaScript", 0, 0, 0, 93, 0, 0, 0, 1, 8, 102
"d:\horizon\admin\src\views\dashboard\Dashboard.js", "JavaScript", 0, 0, 0, 313, 0, 0, 0, 0, 19, 332
"d:\horizon\admin\src\views\mailing\MailingList.js", "JavaScript", 0, 0, 0, 93, 0, 0, 0, 5, 17, 115
"d:\horizon\admin\src\views\pages\landing\Hero.js", "JavaScript", 0, 0, 0, 257, 0, 0, 0, 14, 28, 299
