"filename", "language", "JavaScript", "CSS", "JSON", "HTML", "SCSS", "JavaScript React", "Markdown", "XML", "comment", "blank", "total"
"d:\horizon\admin\src\containers\TheLayout.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\horizon\admin\src\containers\TheSidebar.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 9, 6, 59
"d:\horizon\admin\src\containers\_nav.js", "JavaScript", 235, 0, 0, 0, 0, 0, 0, 0, 0, 38, 273
"d:\horizon\admin\src\containers\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\horizon\admin\src\containers\preview-modal.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\admin\src\firebase\firebase.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 4, 19
"d:\horizon\admin\src\index.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 34, 14, 67
"d:\horizon\admin\src\polyfill.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 26, 12, 64
"d:\horizon\admin\src\queries\queries.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 23
"d:\horizon\admin\src\reusable\Accordion\Accordion.css", "CSS", 0, 45, 0, 0, 0, 0, 0, 0, 8, 9, 62
"d:\horizon\admin\src\reusable\Accordion\Accordion.jsx", "JavaScript React", 0, 0, 0, 0, 0, 38, 0, 0, 2, 11, 51
"d:\horizon\admin\src\reusable\Accordion\Chevron.jsx", "JavaScript React", 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"d:\horizon\admin\src\reusable\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\horizon\admin\src\reusable\old_Accordion.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 2, 55
"d:\horizon\admin\src\routes.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 14, 57
"d:\horizon\admin\src\scss\_custom.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 1, 2, 6
"d:\horizon\admin\src\scss\_fixes.scss", "SCSS", 0, 0, 0, 0, 26, 0, 0, 0, 44, 13, 83
"d:\horizon\admin\src\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\horizon\admin\src\scss\style.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 0, 4, 4, 12
"d:\horizon\admin\src\serviceWorker.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 30, 13, 128
"d:\horizon\admin\src\setupTests.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\horizon\admin\src\store.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\horizon\admin\src\views\Gallery\Gallery.jsx", "JavaScript React", 0, 0, 0, 0, 0, 96, 0, 0, 0, 24, 120
"d:\horizon\admin\src\views\Preview\Preview.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 1, 8, 34
"d:\horizon\admin\src\views\Preview\preview.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\admin\src\views\UploadImg\UploadImg.jsx", "JavaScript React", 0, 0, 0, 0, 0, 149, 0, 0, 1, 31, 181
"d:\horizon\admin\src\views\charts\ChartBarSimple.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 2, 9, 76
