"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "SCSS", "JavaScript React", "CSS", "XML", "comment", "blank", "total"
"d:\horizon\admin\build\static\js\7.cd11ba28.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\8.88ace815.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\9.f0b76d03.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\main.c085833b.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\runtime-main.cd46564c.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\jsconfig.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\horizon\admin\package-lock.json", "JSON", 19503, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19504
"d:\horizon\admin\package.json", "JSON", 76, 0, 0, 0, 0, 0, 0, 0, 10, 0, 86
"d:\horizon\admin\public\index.html", "HTML", 0, 0, 0, 24, 0, 0, 0, 0, 27, 6, 57
"d:\horizon\admin\public\manifest.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\horizon\admin\src\App.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 2, 7, 40
"d:\horizon\admin\src\App.test.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\horizon\admin\src\assets\icons\index.js", "JavaScript", 0, 259, 0, 0, 0, 0, 0, 0, 0, 3, 262
"d:\horizon\admin\src\assets\icons\logo-negative.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\horizon\admin\src\assets\icons\logo.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\horizon\admin\src\assets\icons\sygnet.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\horizon\admin\src\containers\TheContent.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 1, 5, 47
"d:\horizon\admin\src\containers\TheFooter.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\horizon\admin\src\containers\TheHeader.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 0, 2, 12, 107
"d:\horizon\admin\src\containers\TheLayout.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\horizon\admin\src\containers\TheSidebar.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 9, 6, 59
"d:\horizon\admin\src\containers\_nav.js", "JavaScript", 0, 180, 0, 0, 0, 0, 0, 0, 39, 35, 254
"d:\horizon\admin\src\containers\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\horizon\admin\src\containers\preview-modal.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\admin\src\firebase\firebase.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 1, 4, 19
"d:\horizon\admin\src\index.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 34, 13, 73
"d:\horizon\admin\src\polyfill.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 26, 12, 64
"d:\horizon\admin\src\queries\queries.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 23
"d:\horizon\admin\src\reusable\Accordion\Accordion.css", "CSS", 0, 0, 0, 0, 0, 0, 44, 0, 9, 9, 62
"d:\horizon\admin\src\reusable\Accordion\Accordion.jsx", "JavaScript React", 0, 0, 0, 0, 0, 38, 0, 0, 2, 11, 51
"d:\horizon\admin\src\reusable\Accordion\Chevron.jsx", "JavaScript React", 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"d:\horizon\admin\src\reusable\api.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\horizon\admin\src\reusable\index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\horizon\admin\src\reusable\old_Accordion.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 2, 55
"d:\horizon\admin\src\routes.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 14, 57
"d:\horizon\admin\src\scss\_custom.scss", "SCSS", 0, 0, 0, 0, 108, 0, 0, 0, 2, 19, 129
"d:\horizon\admin\src\scss\_fixes.scss", "SCSS", 0, 0, 0, 0, 26, 0, 0, 0, 44, 13, 83
"d:\horizon\admin\src\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\horizon\admin\src\scss\style.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 0, 4, 4, 12
"d:\horizon\admin\src\serviceWorker.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 0, 30, 13, 128
"d:\horizon\admin\src\setupTests.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\horizon\admin\src\store.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\horizon\admin\src\views\Gallery\Gallery.jsx", "JavaScript React", 0, 0, 0, 0, 0, 96, 0, 0, 0, 24, 120
"d:\horizon\admin\src\views\Preview\Preview.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 1, 6, 26
"d:\horizon\admin\src\views\Preview\preview.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\admin\src\views\UploadImg\UploadImg.jsx", "JavaScript React", 0, 0, 0, 0, 0, 143, 0, 0, 1, 29, 173
"d:\horizon\admin\src\views\charts\ChartBarSimple.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 2, 9, 76
"d:\horizon\admin\src\views\charts\ChartLineSimple.js", "JavaScript", 0, 136, 0, 0, 0, 0, 0, 0, 2, 15, 153
"d:\horizon\admin\src\views\charts\Charts.js", "JavaScript", 0, 205, 0, 0, 0, 0, 0, 0, 0, 9, 214
"d:\horizon\admin\src\views\charts\MainChartExample.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 0, 1, 8, 102
"d:\horizon\admin\src\views\dashboard\Dashboard.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 300, 5, 332
"d:\horizon\admin\src\views\mailing\MailingList.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 0, 5, 18, 113
"d:\horizon\admin\src\views\pages\landing\About.jsx", "JavaScript React", 0, 0, 0, 0, 0, 166, 0, 0, 4, 30, 200
"d:\horizon\admin\src\views\pages\landing\Hero.jsx", "JavaScript React", 0, 0, 0, 0, 0, 287, 0, 0, 10, 36, 333
"d:\horizon\admin\src\views\pages\landing\LensDesigns1.jsx", "JavaScript React", 0, 0, 0, 0, 0, 215, 0, 0, 21, 32, 268
"d:\horizon\admin\src\views\pages\landing\LensDesigns1Card.jsx", "JavaScript React", 0, 0, 0, 0, 0, 99, 0, 0, 8, 13, 120
"d:\horizon\admin\src\views\pages\landing\LensDesigns2.jsx", "JavaScript React", 0, 0, 0, 0, 0, 321, 0, 0, 27, 43, 391
"d:\horizon\admin\src\views\pages\landing\LensDesigns3.jsx", "JavaScript React", 0, 0, 0, 0, 0, 255, 0, 0, 15, 39, 309
"d:\horizon\admin\src\views\pages\landing\LensInfo1.jsx", "JavaScript React", 0, 0, 0, 0, 0, 249, 0, 0, 9, 25, 283
"d:\horizon\admin\src\views\pages\landing\LensInfo2.jsx", "JavaScript React", 0, 0, 0, 0, 0, 323, 0, 0, 20, 54, 397
"d:\horizon\admin\src\views\pages\landing\News.jsx", "JavaScript React", 0, 0, 0, 0, 0, 231, 0, 0, 4, 40, 275
"d:\horizon\admin\src\views\pages\landing\ProductionInfo.jsx", "JavaScript React", 0, 0, 0, 0, 0, 254, 0, 0, 15, 38, 307
"d:\horizon\admin\src\views\pages\landing\Screenshots.jsx", "JavaScript React", 0, 0, 0, 0, 0, 134, 0, 0, 9, 14, 157
"d:\horizon\admin\src\views\pages\landing\TechnicalInfo.jsx", "JavaScript React", 0, 0, 0, 0, 0, 240, 0, 0, 15, 38, 293
"d:\horizon\admin\src\views\pages\landing\WatchVideo.jsx", "JavaScript React", 0, 0, 0, 0, 0, 194, 0, 0, 10, 31, 235
"d:\horizon\admin\src\views\pages\landing\_demo_lensdesigns2.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\horizon\admin\src\views\pages\login\Login.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 3, 79
"d:\horizon\admin\src\views\pages\page404\Page404.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 45
"d:\horizon\admin\src\views\pages\page500\Page500.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 45
"d:\horizon\admin\src\views\pages\register\Register.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 0, 0, 3, 81
"d:\horizon\admin\src\views\users\User.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 5, 42
"d:\horizon\admin\src\views\users\Users.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 9, 89
"d:\horizon\admin\src\views\users\UsersData.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 16, 56
"d:\horizon\admin\src\views\widgets\Widgets.js", "JavaScript", 0, 362, 0, 0, 0, 0, 0, 0, 0, 9, 371
"d:\horizon\admin\src\views\widgets\WidgetsBrand.js", "JavaScript", 0, 164, 0, 0, 0, 0, 0, 0, 1, 13, 178
"d:\horizon\admin\src\views\widgets\WidgetsDropdown.js", "JavaScript", 0, 140, 0, 0, 0, 0, 0, 0, 1, 6, 147
"d:\horizon\admin\static.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 3, 0, 8
"d:\horizon\package-lock.json", "JSON", 702, 0, 0, 0, 0, 0, 0, 0, 0, 1, 703
"d:\horizon\package.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"d:\horizon\server\.eslintrc.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"d:\horizon\server\app.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 37, 16, 128
"d:\horizon\server\controllers\comments.controllers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 103, 20, 123
"d:\horizon\server\controllers\horizon.controllers.js", "JavaScript", 0, 503, 0, 0, 0, 0, 0, 0, 81, 102, 686
"d:\horizon\server\controllers\json_html.controllers.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 24, 19, 105
"d:\horizon\server\models\About.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\horizon\server\models\Blog.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 1, 2, 40
"d:\horizon\server\models\Gallery.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\horizon\server\models\Mail.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\horizon\server\models\Products.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\horizon\server\models\demo.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\horizon\server\models\horizon.js", "JavaScript", 0, 283, 0, 0, 0, 0, 0, 0, 67, 7, 357
"d:\horizon\server\package-lock.json", "JSON", 5846, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5847
"d:\horizon\server\package.json", "JSON", 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"d:\horizon\server\public\assets\coming-soon\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 122, 0, 27, 29, 178
"d:\horizon\server\public\assets\css\_reusable\chrome_safari_anims.css", "CSS", 0, 0, 0, 0, 0, 0, 52, 0, 0, 16, 68
"d:\horizon\server\public\assets\css\_reusable\editor.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\horizon\server\public\assets\css\about\about.css", "CSS", 0, 0, 0, 0, 0, 0, 330, 0, 22, 76, 428
"d:\horizon\server\public\assets\css\aos.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\server\public\assets\css\before_after.css", "CSS", 0, 0, 0, 0, 0, 0, 101, 0, 134, 15, 250
"d:\horizon\server\public\assets\css\bifocal.css", "CSS", 0, 0, 0, 0, 0, 0, 175, 0, 3, 32, 210
"d:\horizon\server\public\assets\css\blur_cards.css", "CSS", 0, 0, 0, 0, 0, 0, 177, 0, 14, 46, 237
"d:\horizon\server\public\assets\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 7
"d:\horizon\server\public\assets\css\color-1.css", "CSS", 0, 0, 0, 0, 0, 0, 100, 0, 18, 14, 132
"d:\horizon\server\public\assets\css\contact.css", "CSS", 0, 0, 0, 0, 0, 0, 260, 0, 15, 58, 333
"d:\horizon\server\public\assets\css\contactUtil.css", "CSS", 0, 0, 0, 0, 0, 0, 2824, 0, 71, 89, 2984
"d:\horizon\server\public\assets\css\fontawesome-all.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 5
"d:\horizon\server\public\assets\css\lenses.css", "CSS", 0, 0, 0, 0, 0, 0, 321, 0, 5, 65, 391
"d:\horizon\server\public\assets\css\linearicons.css", "CSS", 0, 0, 0, 0, 0, 0, 526, 0, 1, 4, 531
"d:\horizon\server\public\assets\css\lity.min.css", "CSS", 0, 0, 0, 0, 0, 0, 195, 0, 3, 21, 219
"d:\horizon\server\public\assets\css\main.css", "CSS", 0, 0, 0, 0, 0, 0, 1849, 0, 191, 414, 2454
