"filename", "language", "JavaScript", "JSON", "HTML", "CSS", "XML", "comment", "blank", "total"
"d:\horizon\server\views\demo.ejs", "HTML", 0, 0, 1334, 0, 0, 142, 25, 1501
"d:\horizon\server\views\index.ejs", "HTML", 0, 0, 641, 0, 0, 63, 21, 725
"d:\horizon\server\views\news-single-test.ejs", "HTML", 0, 0, 481, 0, 0, 47, 33, 561
"d:\horizon\server\views\news-single.html", "HTML", 0, 0, 455, 0, 0, 59, 30, 544
"d:\horizon\server\views\news-with-sidebar-one-col-test.ejs", "HTML", 0, 0, 454, 0, 0, 59, 31, 544
"d:\horizon\server\views\news-with-sidebar-one-col.html", "HTML", 0, 0, 454, 0, 0, 59, 31, 544
"d:\horizon\server\views\news-with-sidebar-test.ejs", "HTML", 0, 0, 454, 0, 0, 60, 32, 546
"d:\horizon\server\views\news-with-sidebar.html", "HTML", 0, 0, 454, 0, 0, 60, 32, 546
"d:\horizon\server\views\news-without-sidebar-test.ejs", "HTML", 0, 0, 365, 0, 0, 58, 28, 451
"d:\horizon\server\views\news-without-sidebar.html", "HTML", 0, 0, 365, 0, 0, 58, 28, 451
"d:\horizon\server\views\partials\about_end.ejs", "HTML", 0, 0, 15, 0, 0, 15, 9, 39
"d:\horizon\server\views\partials\about_head.ejs", "HTML", 0, 0, 20, 0, 0, 13, 8, 41
"d:\horizon\server\views\partials\footer.ejs", "HTML", 0, 0, 112, 0, 0, 2, 2, 116
"d:\horizon\server\views\partials\home_end.ejs", "HTML", 0, 0, 21, 0, 0, 15, 10, 46
"d:\horizon\server\views\partials\home_head.ejs", "HTML", 0, 0, 38, 0, 0, 21, 13, 72
"d:\horizon\server\views\partials\nav.ejs", "HTML", 0, 0, 50, 0, 0, 5, 0, 55
"d:\horizon\server\views\partials\new_end.ejs", "HTML", 0, 0, 15, 0, 0, 15, 9, 39
"d:\horizon\server\views\partials\new_head.ejs", "HTML", 0, 0, 42, 0, 0, 20, 15, 77
"d:\horizon\server\views\partials\news_head.ejs", "HTML", 0, 0, 115, 0, 0, 20, 28, 163
"d:\horizon\server\views\partials\product_head.ejs", "HTML", 0, 0, 42, 0, 0, 20, 15, 77
"d:\horizon\server\views\product.ejs", "HTML", 0, 0, 65, 0, 0, 18, 8, 91
"Total", "-", 1379, 4825, 6211, 8079, 8, 1502, 1695, 23699
