"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "SCSS", "JavaScript React", "CSS", "XML", "comment", "blank", "total"
"d:\horizon\admin\REACT.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 0, 0, 7, 20
"d:\horizon\admin\build\asset-manifest.json", "JSON", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102
"d:\horizon\admin\build\index.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin\build\manifest.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\horizon\admin\build\static\css\10.c3ec5e27.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\11.c3ec5e27.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\12.c3ec5e27.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\13.c3ec5e27.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\14.c3ec5e27.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\16.c3ec5e27.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\2.f5fd07a3.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\3.32263268.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 0, 7, 0, 9
"d:\horizon\admin\build\static\css\8.afd7172b.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\horizon\admin\build\static\css\9.c3ec5e27.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\main.d461b232.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 7, 0, 8
"d:\horizon\admin\build\static\js\0.b2b2f5f3.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\1.2dfa98c1.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"d:\horizon\admin\build\static\js\10.e5469860.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\11.cb4d8785.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\12.3cbcab2f.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\13.0bdd1fd5.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\14.6b564d7a.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\15.263a0d14.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\16.274e3c10.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\17.0ce6b238.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\18.63f8823b.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\19.83fd15b5.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\2.200e0ecd.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"d:\horizon\admin\build\static\js\20.77b0ea35.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\21.18fa7ecd.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\22.55ef4d84.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\23.4fbda50e.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\24.53a990af.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\25.87df4bea.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\26.872e33fe.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\27.55cf1001.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\28.a9781c9b.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\29.446a0424.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\3.688b847c.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"d:\horizon\admin\build\static\js\30.ea01d5bd.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\31.748f31d9.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\6.a2ad3b94.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"d:\horizon\admin\build\static\js\7.9a3011d7.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"d:\horizon\admin\build\static\js\8.7cbb4bb7.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\9.1973eb4f.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\main.874c4cd6.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\runtime-main.7a6487dc.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\jsconfig.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\horizon\admin\package-lock.json", "JSON", 19498, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19499
"d:\horizon\admin\package.json", "JSON", 75, 0, 0, 0, 0, 0, 0, 0, 10, 0, 85
"d:\horizon\admin\public\index.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 0, 23, 1, 44
"d:\horizon\admin\public\manifest.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\horizon\admin\src\App.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 2, 7, 40
"d:\horizon\admin\src\App.test.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\horizon\admin\src\assets\icons\index.js", "JavaScript", 0, 259, 0, 0, 0, 0, 0, 0, 0, 3, 262
"d:\horizon\admin\src\assets\icons\logo-negative.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\horizon\admin\src\assets\icons\logo.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\horizon\admin\src\assets\icons\sygnet.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\horizon\admin\src\containers\TheContent.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 1, 5, 47
"d:\horizon\admin\src\containers\TheFooter.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\horizon\admin\src\containers\TheHeader.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 0, 1, 12, 107
"d:\horizon\admin\src\containers\TheLayout.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
