Date : 2021-07-08 15:14:41
Directory : d:\horizon
Total : 173 files,  49550 codes, 2028 comments, 2774 blanks, all 54352 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |         10 |     25,859 |         13 |          6 |     25,878 |
| CSS              |         28 |      8,834 |        401 |      1,188 |     10,423 |
| HTML             |         32 |      6,982 |      1,013 |        482 |      8,477 |
| JavaScript       |         80 |      4,547 |        460 |        558 |      5,565 |
| JavaScript React |         17 |      3,274 |         90 |        511 |      3,875 |
| SCSS             |          4 |         33 |         50 |         20 |        103 |
| Markdown         |          1 |         13 |          0 |          7 |         20 |
| XML              |          1 |          8 |          1 |          2 |         11 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                     |        173 |     49,550 |      2,028 |      2,774 |     54,352 |
| admin                                                                 |         72 |     25,864 |        320 |        869 |     27,053 |
| admin\public                                                          |          2 |         35 |         23 |          2 |         60 |
| admin\src                                                             |         65 |      6,408 |        284 |        859 |      7,551 |
| admin\src\assets                                                      |          4 |        274 |          0 |          6 |        280 |
| admin\src\assets\icons                                                |          4 |        274 |          0 |          6 |        280 |
| admin\src\containers                                                  |          8 |        465 |         11 |         71 |        547 |
| admin\src\firebase                                                    |          1 |         14 |          1 |          4 |         19 |
| admin\src\queries                                                     |          1 |          0 |         17 |          6 |         23 |
| admin\src\reusable                                                    |          5 |        157 |         10 |         26 |        193 |
| admin\src\reusable\Accordion                                          |          3 |        101 |         10 |         23 |        134 |
| admin\src\scss                                                        |          4 |         33 |         50 |         20 |        103 |
| admin\src\views                                                       |         34 |      5,219 |        101 |        655 |      5,975 |
| admin\src\views\Gallery                                               |          1 |         96 |          0 |         24 |        120 |
| admin\src\views\Preview                                               |          2 |         25 |          1 |          9 |         35 |
| admin\src\views\UploadImg                                             |          1 |        149 |          1 |         31 |        181 |
| admin\src\views\charts                                                |          4 |        499 |          5 |         41 |        545 |
| admin\src\views\dashboard                                             |          1 |        313 |          0 |         19 |        332 |
| admin\src\views\mailing                                               |          1 |         90 |          5 |         18 |        113 |
| admin\src\views\pages                                                 |         18 |      3,224 |         87 |        455 |      3,766 |
| admin\src\views\pages\landing                                         |         14 |      2,986 |         87 |        443 |      3,516 |
| admin\src\views\pages\login                                           |          1 |         76 |          0 |          3 |         79 |
| admin\src\views\pages\page404                                         |          1 |         42 |          0 |          3 |         45 |
| admin\src\views\pages\page500                                         |          1 |         42 |          0 |          3 |         45 |
| admin\src\views\pages\register                                        |          1 |         78 |          0 |          3 |         81 |
| admin\src\views\users                                                 |          3 |        157 |          0 |         30 |        187 |
| admin\src\views\widgets                                               |          3 |        666 |          2 |         28 |        696 |
| server                                                                |         99 |     22,953 |      1,708 |      1,903 |     26,564 |
| server\_data_sample                                                   |          6 |         44 |          0 |          4 |         48 |
| server\controllers                                                    |          1 |        501 |        120 |        104 |        725 |
| server\firebase                                                       |          1 |          0 |          0 |          1 |          1 |
| server\models                                                         |          7 |        380 |         68 |         17 |        465 |
| server\public                                                         |         47 |      9,229 |        461 |      1,245 |     10,935 |
| server\public\assets                                                  |         47 |      9,229 |        461 |      1,245 |     10,935 |
| server\public\assets\coming-soon                                      |          1 |        122 |         27 |         29 |        178 |
| server\public\assets\coming-soon\css                                  |          1 |        122 |         27 |         29 |        178 |
| server\public\assets\css                                              |         26 |      8,710 |        368 |      1,149 |     10,227 |
| server\public\assets\css\_reusable                                    |          1 |         52 |          0 |         16 |         68 |
| server\public\assets\css\about                                        |          1 |        330 |         22 |         76 |        428 |
| server\public\assets\css\nav                                          |          3 |        180 |          4 |         19 |        203 |
| server\public\assets\img                                              |          1 |          8 |          1 |          2 |         11 |
| server\public\assets\js                                               |         19 |        389 |         65 |         65 |        519 |
| server\public\assets\js\about                                         |          1 |         45 |         10 |         14 |         69 |
| server\routes                                                         |          1 |         40 |         27 |         24 |         91 |
| server\schema                                                         |          1 |         38 |          2 |          7 |         47 |
| server\views                                                          |         29 |      6,919 |        988 |        480 |      8,387 |
| server\views\coming-soon                                              |          1 |         43 |          7 |         15 |         65 |
| server\views\partials                                                 |         12 |        568 |        163 |        112 |        843 |
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                              | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\horizon\admin\REACT.md                                             | Markdown         |         13 |          0 |          7 |         20 |
| d:\horizon\admin\jsconfig.json                                        | JSON             |          6 |          0 |          0 |          6 |
| d:\horizon\admin\package-lock.json                                    | JSON             |     19,324 |          0 |          1 |     19,325 |
| d:\horizon\admin\package.json                                         | JSON             |         73 |         10 |          0 |         83 |
| d:\horizon\admin\public\index.html                                    | HTML             |         20 |         23 |          1 |         44 |
| d:\horizon\admin\public\manifest.json                                 | JSON             |         15 |          0 |          1 |         16 |
| d:\horizon\admin\src\App.js                                           | JavaScript       |         29 |          4 |          7 |         40 |
| d:\horizon\admin\src\App.test.js                                      | JavaScript       |         17 |          0 |          5 |         22 |
| d:\horizon\admin\src\assets\icons\index.js                            | JavaScript       |        259 |          0 |          3 |        262 |
| d:\horizon\admin\src\assets\icons\logo-negative.js                    | JavaScript       |          3 |          0 |          1 |          4 |
| d:\horizon\admin\src\assets\icons\logo.js                             | JavaScript       |          3 |          0 |          1 |          4 |
| d:\horizon\admin\src\assets\icons\sygnet.js                           | JavaScript       |          9 |          0 |          1 |         10 |
| d:\horizon\admin\src\containers\TheContent.js                         | JavaScript       |         41 |          1 |          5 |         47 |
| d:\horizon\admin\src\containers\TheFooter.js                          | JavaScript       |         17 |          0 |          3 |         20 |
| d:\horizon\admin\src\containers\TheHeader.js                          | JavaScript       |         94 |          1 |         12 |        107 |
| d:\horizon\admin\src\containers\TheLayout.js                          | JavaScript       |         22 |          0 |          4 |         26 |
| d:\horizon\admin\src\containers\TheSidebar.js                         | JavaScript       |         44 |          9 |          6 |         59 |
| d:\horizon\admin\src\containers\_nav.js                               | JavaScript       |        235 |          0 |         38 |        273 |
| d:\horizon\admin\src\containers\index.js                              | JavaScript       |         12 |          0 |          2 |         14 |
| d:\horizon\admin\src\containers\preview-modal.css                     | CSS              |          0 |          0 |          1 |          1 |
| d:\horizon\admin\src\firebase\firebase.js                             | JavaScript       |         14 |          1 |          4 |         19 |
| d:\horizon\admin\src\index.js                                         | JavaScript       |         19 |         34 |         14 |         67 |
| d:\horizon\admin\src\polyfill.js                                      | JavaScript       |         26 |         26 |         12 |         64 |
| d:\horizon\admin\src\queries\queries.js                               | JavaScript       |          0 |         17 |          6 |         23 |
