Date : 2021-05-02 03:45:32
Directory : d:\horizon\admin
Total : 72 files,  25777 codes, 320 comments, 868 blanks, all 26965 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\horizon\admin\src\views\Gallery\Gallery.jsx                 | JavaScript React |         96 |          0 |         24 |        120 |
| d:\horizon\admin\src\views\Preview\Preview.js                  | JavaScript       |         25 |          1 |          8 |         34 |
| d:\horizon\admin\src\views\Preview\preview.css                 | CSS              |          0 |          0 |          1 |          1 |
| d:\horizon\admin\src\views\UploadImg\UploadImg.jsx             | JavaScript React |        149 |          1 |         31 |        181 |
| d:\horizon\admin\src\views\charts\ChartBarSimple.js            | JavaScript       |         65 |          2 |          9 |         76 |
| d:\horizon\admin\src\views\charts\ChartLineSimple.js           | JavaScript       |        136 |          2 |         15 |        153 |
| d:\horizon\admin\src\views\charts\Charts.js                    | JavaScript       |        205 |          0 |          9 |        214 |
| d:\horizon\admin\src\views\charts\MainChartExample.js          | JavaScript       |         93 |          1 |          8 |        102 |
| d:\horizon\admin\src\views\dashboard\Dashboard.js              | JavaScript       |        313 |          0 |         19 |        332 |
| d:\horizon\admin\src\views\mailing\MailingList.js              | JavaScript       |         90 |          5 |         18 |        113 |
| d:\horizon\admin\src\views\pages\landing\About.jsx             | JavaScript React |        165 |          2 |         32 |        199 |
| d:\horizon\admin\src\views\pages\landing\Hero.jsx              | JavaScript React |        288 |          2 |         35 |        325 |
| d:\horizon\admin\src\views\pages\landing\LensDesigns1.jsx      | JavaScript React |        215 |         14 |         32 |        261 |
| d:\horizon\admin\src\views\pages\landing\LensDesigns1Card.jsx  | JavaScript React |         99 |          8 |         13 |        120 |
| d:\horizon\admin\src\views\pages\landing\LensDesigns2.jsx      | JavaScript React |        318 |         13 |         44 |        375 |
| d:\horizon\admin\src\views\pages\landing\LensDesigns3.jsx      | JavaScript React |        254 |          8 |         39 |        301 |
| d:\horizon\admin\src\views\pages\landing\LensInfo1.jsx         | JavaScript React |        248 |          2 |         26 |        276 |
| d:\horizon\admin\src\views\pages\landing\LensInfo2.jsx         | JavaScript React |        322 |         13 |         54 |        389 |
| d:\horizon\admin\src\views\pages\landing\News.jsx              | JavaScript React |        237 |          4 |         42 |        283 |
| d:\horizon\admin\src\views\pages\landing\ProductionInfo.jsx    | JavaScript React |        254 |          8 |         38 |        300 |
| d:\horizon\admin\src\views\pages\landing\Screenshots.jsx       | JavaScript React |        134 |          2 |         15 |        151 |
| d:\horizon\admin\src\views\pages\landing\TechnicalInfo.jsx     | JavaScript React |        240 |          8 |         39 |        287 |
| d:\horizon\admin\src\views\pages\landing\WatchVideo.jsx        | JavaScript React |        194 |          3 |         32 |        229 |
| d:\horizon\admin\src\views\pages\landing\_demo_lensdesigns2.js | JavaScript       |         13 |          0 |          1 |         14 |
| d:\horizon\admin\src\views\pages\login\Login.js                | JavaScript       |         76 |          0 |          3 |         79 |
| d:\horizon\admin\src\views\pages\page404\Page404.js            | JavaScript       |         42 |          0 |          3 |         45 |
| d:\horizon\admin\src\views\pages\page500\Page500.js            | JavaScript       |         42 |          0 |          3 |         45 |
| d:\horizon\admin\src\views\pages\register\Register.js          | JavaScript       |         78 |          0 |          3 |         81 |
| d:\horizon\admin\src\views\users\User.js                       | JavaScript       |         37 |          0 |          5 |         42 |
| d:\horizon\admin\src\views\users\Users.js                      | JavaScript       |         80 |          0 |          9 |         89 |
| d:\horizon\admin\src\views\users\UsersData.js                  | JavaScript       |         40 |          0 |         16 |         56 |
| d:\horizon\admin\src\views\widgets\Widgets.js                  | JavaScript       |        362 |          0 |          9 |        371 |
| d:\horizon\admin\src\views\widgets\WidgetsBrand.js             | JavaScript       |        164 |          1 |         13 |        178 |
| d:\horizon\admin\src\views\widgets\WidgetsDropdown.js          | JavaScript       |        140 |          1 |          6 |        147 |
| d:\horizon\admin\static.json                                   | JSON             |          5 |          3 |          0 |          8 |
| Total                                                          |                  |     25,777 |        320 |        868 |     26,965 |
+----------------------------------------------------------------+------------------+------------+------------+------------+------------+
