Date : 2021-04-19 16:07:13
Directory : d:\horizon\admin
Total : 57 files,  25009 codes, 218 comments, 348 blanks, all 25575 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\horizon\admin\src\views\charts\ChartBarSimple.js       | JavaScript |         65 |          2 |          9 |         76 |
| d:\horizon\admin\src\views\charts\ChartLineSimple.js      | JavaScript |        136 |          2 |         15 |        153 |
| d:\horizon\admin\src\views\charts\Charts.js               | JavaScript |        205 |          0 |          9 |        214 |
| d:\horizon\admin\src\views\charts\MainChartExample.js     | JavaScript |         93 |          1 |          8 |        102 |
| d:\horizon\admin\src\views\dashboard\Dashboard.js         | JavaScript |        537 |          0 |         21 |        558 |
| d:\horizon\admin\src\views\pages\landing\Hero.js          | JavaScript |        212 |         13 |         26 |        251 |
| d:\horizon\admin\src\views\pages\landing\ProgDesigns.js   | JavaScript |        218 |         24 |         27 |        269 |
| d:\horizon\admin\src\views\pages\login\Login.js           | JavaScript |         76 |          0 |          3 |         79 |
| d:\horizon\admin\src\views\pages\page404\Page404.js       | JavaScript |         42 |          0 |          3 |         45 |
| d:\horizon\admin\src\views\pages\page500\Page500.js       | JavaScript |         42 |          0 |          3 |         45 |
| d:\horizon\admin\src\views\pages\register\Register.js     | JavaScript |         78 |          0 |          3 |         81 |
| d:\horizon\admin\src\views\users\User.js                  | JavaScript |         37 |          0 |          5 |         42 |
| d:\horizon\admin\src\views\users\Users.js                 | JavaScript |         80 |          0 |          9 |         89 |
| d:\horizon\admin\src\views\users\UsersData.js             | JavaScript |         40 |          0 |         16 |         56 |
| d:\horizon\admin\src\views\widgets\Widgets.js             | JavaScript |        362 |          0 |          9 |        371 |
| d:\horizon\admin\src\views\widgets\WidgetsBrand.js        | JavaScript |        164 |          1 |         13 |        178 |
| d:\horizon\admin\src\views\widgets\WidgetsDropdown.js     | JavaScript |        140 |          1 |          6 |        147 |
| Total                                                     |            |     25,009 |        218 |        348 |     25,575 |
+-----------------------------------------------------------+------------+------------+------------+------------+------------+
