"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "CSS", "SCSS", "JavaScript React", "XML", "comment", "blank", "total"
"d:\horizon\admin\package.json", "JSON", 76, 0, 0, 0, 0, 0, 0, 0, 10, 0, 86
"d:\horizon\admin\public\index.html", "HTML", 0, 0, 24, 0, 0, 0, 0, 0, 27, 6, 57
"d:\horizon\admin\public\manifest.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\horizon\admin\src\App.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 31, 13, 72
"d:\horizon\admin\src\App.test.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\horizon\admin\src\assets\icons\index.js", "JavaScript", 0, 259, 0, 0, 0, 0, 0, 0, 0, 3, 262
"d:\horizon\admin\src\assets\icons\logo-negative.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\horizon\admin\src\assets\icons\logo.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\horizon\admin\src\assets\icons\sygnet.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\horizon\admin\src\containers\TheContent.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 1, 5, 47
"d:\horizon\admin\src\containers\TheFooter.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\horizon\admin\src\containers\TheHeader.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 0, 2, 12, 114
"d:\horizon\admin\src\containers\TheLayout.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\horizon\admin\src\containers\TheSidebar.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 9, 5, 58
"d:\horizon\admin\src\containers\_nav.js", "JavaScript", 0, 186, 0, 0, 0, 0, 0, 0, 39, 35, 260
"d:\horizon\admin\src\containers\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\horizon\admin\src\containers\preview-modal.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\admin\src\firebase\firebase.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 1, 5, 21
"d:\horizon\admin\src\index.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 34, 13, 73
"d:\horizon\admin\src\polyfill.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 26, 12, 64
"d:\horizon\admin\src\queries\queries.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 23
"d:\horizon\admin\src\reusable\Accordion\Accordion.css", "CSS", 0, 0, 0, 0, 44, 0, 0, 0, 9, 9, 62
"d:\horizon\admin\src\reusable\Accordion\Accordion.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 38, 0, 2, 11, 51
"d:\horizon\admin\src\reusable\Accordion\Chevron.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\horizon\admin\src\reusable\api.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\horizon\admin\src\reusable\index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
